rank,name,V,Teff,logg,Del,texp,rms,Nobs,FOM
75,HD34575,7.09,5551,4.25,2.34,1336,3.63,23,3.944
76,HD84117,4.93,6128,4.26,3.24,902,6.04,55,3.94
77,HD71479,7.17,5925,4.27,3.26,1790,3.33,16,3.94
78,HD116443,7.35,5001,4.57,2.16,1266,3.71,92,3.938
79,HD197076,6.45,5810,4.42,2.12,872,5.07,42,3.936
80,HD151541,7.56,5309,4.5,1.81,1710,2.62,77,3.934
81,HD190404,7.28,4960,4.59,2.91,1178,4.78,54,3.92
82,HD132142,7.77,5145,4.55,1.96,1952,2.55,58,3.911
83,HD42250,7.43,5357,4.43,3.24,1536,4.08,25,3.91
84,HD159222,6.56,5870,4.41,2.86,976,5.8,88,3.902
85,HD98281,7.29,5381,4.52,2.55,1338,4.17,68,3.901
86,HD144585,6.32,5807,4.23,3.68,996,6.49,35,3.9
87,HD145958A,7.43,5414,4.48,5.19,1564,5.2,84,3.9
88,HD125455,7.58,5103,4.54,2.65,1606,3.65,45,3.898
89,HD9562,5.75,5837,4.02,3,1678,3.78,30,3.892
90,HD62613,6.55,5493,4.5,0.76,758,3.8,30,3.889
91,HD130992,7.81,4767,4.51,2.36,1846,3.17,51,3.879
92,HD219623,5.58,6059,4.21,4.21,1062,6.92,20,3.878
93,HD32923,5,5725,4.13,2.56,655,8.08,21,3.875
94,HD180161,7.04,5396,4.51,4.45,1046,7.3,14,3.872
95,HD4915,6.98,5668,4.56,2.72,1118,5.45,40,3.868
96,HD220339,7.8,4953,4.56,2.32,1908,3.15,53,3.865
97,HD224619,7.47,5453,4.49,3.05,1666,4.09,33,3.864
98,HD28005,6.72,5747,4.24,2.65,1234,4.98,57,3.864
99,HD37394,6.21,5249,4.5,5.27,498,14.66,13,3.864
100,HD216520,7.53,5082,4.54,1.44,1522,3.08,185,3.86
